2024-10-29 12:46:10,895 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:46:21,435 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:46:21,435 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:46:32,011 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:46:32,011 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:46:35,559 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:46:35,559 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:46:36,078 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:46:36,078 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:46:36,514 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:46:36,514 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:46:36,603 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:46:36,603 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:49:38,422 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:49:38,422 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:49:39,399 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:49:39,399 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:49:39,963 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:49:39,963 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:49:40,548 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:49:40,548 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:49:41,156 DEBUG:Keysight Technologies, N1914A, one channel
2024-10-29 12:49:41,156 DEBUG:Keysight Technologies, N1914A, one channel
